ID,Rep,Landmark,X,Y
Leaf_8c,2,11,13.631,23.834
Leaf_8c,2,12,12.221,23.181
Leaf_8c,2,13,13.163,23.666
Leaf_8c,2,14,12.143,22.93
Leaf_8c,2,15,13.38,23.064
Leaf_8b,2,1,13.338,18.444
Leaf_8b,2,2,13.278,24.25
Leaf_8b,2,3,13.196,24.231
Leaf_8b,2,4,13.341,24.216
Leaf_8b,2,5,13.358,23.513
Leaf_8b,2,6,11.635,23.466
Leaf_8b,2,7,14.936,23.577
Leaf_8b,2,8,11.591,21.974
Leaf_8b,2,9,14.999,21.639
Leaf_8b,2,10,12.449,23.878
Leaf_8b,2,11,14.151,24.019
Leaf_8b,2,12,12.867,23.661
Leaf_8b,2,13,13.723,23.705
Leaf_8b,2,14,12.637,23.064
Leaf_8b,2,15,14.099,22.88
Leaf_7c,2,1,11.117,17.283
Leaf_7c,2,2,11.78,24.592
Leaf_7c,2,3,11.498,24.302
Leaf_7c,2,4,11.981,24.123
Leaf_7c,2,5,11.375,21.479
Leaf_7c,2,6,8.963,21.643
Leaf_7c,2,7,13.999,21.337
Leaf_7c,2,8,9.314,20.544
Leaf_7c,2,9,13.315,20.282
Leaf_7c,2,10,10.368,23.269
Leaf_7c,2,11,12.672,23.239
Leaf_7c,2,12,10.531,22.001
Leaf_7c,2,13,12.249,22.378
Leaf_7c,2,14,10.264,20.954
Leaf_7c,2,15,12.421,20.915
Leaf_8a,2,1,12.263,21.072
Leaf_8a,2,2,12.308,26.669
Leaf_8a,2,3,12.159,26.565
Leaf_8a,2,4,12.46,26.558
Leaf_8a,2,5,12.327,25.478
Leaf_8a,2,6,9.862,25.593
Leaf_8a,2,7,14.951,25.387
Leaf_8a,2,8,10.007,24.503
Leaf_8a,2,9,14.707,24.475
Leaf_8a,2,10,10.947,26.128
Leaf_8a,2,11,13.648,26.03
Leaf_8a,2,12,11.721,25.885
Leaf_8a,2,13,12.901,25.891
Leaf_8a,2,14,11.443,25.395
Leaf_8a,2,15,13.17,25.35
Leaf_7b,2,1,12.074,15.222
Leaf_7b,2,2,12.204,23.306
Leaf_7b,2,3,12.152,23.053
Leaf_7b,2,4,12.353,22.86
Leaf_7b,2,5,12.377,20.63
Leaf_7b,2,6,10.261,20.38
Leaf_7b,2,7,15.068,20.87
Leaf_7b,2,8,10.403,19.518
Leaf_7b,2,9,14.434,19.318
Leaf_7b,2,10,11.206,21.785
Leaf_7b,2,11,13.467,21.96
Leaf_7b,2,12,11.903,21.946
Leaf_7b,2,13,12.747,21.927
Leaf_7b,2,14,11.744,20.937
Leaf_7b,2,15,13.255,20.232
Leaf_7a,2,1,11.496,17.768
Leaf_7a,2,2,11.401,23.633
